Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Carl Landry,-0.7319914085037882,-0.12511995134345835,0.2697109589635196,0.3773436587924074,0.34783438346033746,0.22564046833689566,1.7383879430665807,1.2470461196481677,-0.001259667799717285,-0.896003684726582,-0.884696747056871,-0.39881587587963546,2.292687973549913,2.6466440421912845,-0.02693051064128676,1.4923650015914818,0.18532165387838978,0.8198223013130468,-0.6210691025335978,-0.09018215645898207,0.04126915055382208,1.181910007807365,1.5453987408600849,1.4268091205187967,0.6847864863189423,1.5255813272968148,-0.45888762034191344,-0.11120181750142204,-0.18841781489959844,0.8952941723050779
Keith Langford,1.2177347566887486,0.924034827969294,0.13916257451843875,0.07079904652908951,0.2001208311379473,-0.013404384257637382,0.4702817519797801,0.40392125208083884,-0.029226480753227584,-0.14472769666174615,-0.11911782419251192,-0.03827954955468176,-0.03805599767405506,0.25558705117894165,-0.37850434998365795,0.1939600400938876,-0.8472481887508475,-0.4530245670231977,0.17365912858916893,-0.27747145172283694,-0.3516131627185642,-0.03731854820256834,-0.11245599118690798,0.207388895095582,0.9843913474661791,-0.7423012751390486,-0.8704088687977974,-1.197698263908762,-0.8062831116267548,-1.0032885130672278
Acie Law,0.8386213356790888,1.128037146168996,0.3872045049640926,0.09269509026218357,0.3773770939248154,-0.0781922415028846,0.33679688976011674,0.5243676617333143,-0.04320988722998275,-0.01951503198427354,0.024428223844555536,0.07177890795504133,0.0423144840922884,-0.06752875841732096,0.22187559104715995,-1.2126453348618396,-0.7784101992422315,-0.9985303677387309,1.564433533054011,0.4716857293325827,-1.0064170181725411,0.6400306495807281,0.808574415505866,0.3030296970895593,-0.41461101263659583,-0.7423012751390486,0.7756761250257386,0.1604222941004129,-0.8062831116267548,-0.14758927458956883
Josh McRoberts,-0.5965937581431954,-0.12511995134345835,0.24360128207450352,-0.12626534706875783,-0.5384469304740036,0.08712849767464298,0.27005445865028505,0.12287962955839585,-0.024232407011529348,-1.0212163494040547,-0.9803941124149158,-0.22803551077834147,-0.1987969612067427,-0.00290559649806867,-0.29737192552003383,0.3021604535520203,0.5983495909300844,0.5470694009552802,0.17365912858916893,0.28439643406872767,1.4818376325525715,-0.17278838775922772,1.1769865781829751,-0.3903661173667784,0.8802913533387497,-0.5678487672593668,-0.623496119724267,-0.926074152306927,-0.8062831116267548,-0.8695855070550936
Demetris Nichols,0.8657008657512073,0.7491756980838353,-0.2655374172613115,-0.17005743453494615,-0.09530627350683306,-0.17425699534928582,-0.8645668702168524,-0.920989254096392,-0.046206331475001715,0.9821862854355075,1.029250560104027,0.07557402717951432,-0.9221312971038363,-1.1014993491253613,0.17860496466656042,-0.45524244065490965,-0.5030582412077683,-0.5439422004757867,-0.6872964551271616,-0.09018215645898207,0.04126915055382208,-0.7146677459858647,-0.29666207252546295,-0.3664559168682841,0.28108163104427586,-1.0912062908984121,-0.7881046191066207,-1.197698263908762,-0.18841781489959844,-0.9765479118648009
Joakim Noah,0.4595079146694288,0.3120278733701885,-0.8791148241531913,-0.17005743453494615,-0.922502166512218,0.25691736493804956,0.20331202754045336,-0.19831079618153885,-0.004921988543629353,-1.1464290140815272,-1.219637525810028,0.6144809570547087,0.12268496585863221,0.25558705117894165,-0.189195359568535,0.41036086701015323,0.4606736119128533,0.501610584228986,-0.2899323395657783,-0.27747145172283694,1.2199160903709807,-0.3082582273158868,-0.29666207252546295,-0.46209671886226183,0.1236621277296262,1.932637179016072,0.03493787780514741,1.2469187405077529,1.9741107236454487,0.4941851542686752
Kasib Powell,-0.6507528182874325,-0.008547198086485856,1.026891588744989,0.2897594838600309,0.76143232996303,-0.020106576386455948,1.4714182186272544,1.809129364693053,-0.04087931948385689,-1.0212163494040547,-0.884696747056871,-0.4595377834712067,0.36379641115766365,0.8371955084522139,-0.4866809159351568,0.41036086701015323,0.25415964338700536,0.3652341340501023,1.299524122679755,0.09710713880487298,-0.2206523916277688,-0.7146677459858647,0.2559561714902011,0.6377725040684812,0.40295479490077907,1.0022238036577693,0.4464591262610314,0.975294628905918,-0.18841781489959844,0.7615911662929437
Gabe Pruitt,-0.2987189273498911,0.07888236685624352,0.5960819200762216,-0.01678512840328713,0.2592062520669032,-0.1407460347051925,-0.8645668702168524,-0.8808404508789003,-0.04520751672666206,1.608249608822871,1.5077373868942514,0.2084032000360762,-0.11842647944039887,-0.3260214060943313,0.3192345004035089,-1.1044449214037069,-0.8472481887508475,-0.9985303677387309,0.9021600071183719,1.782710796179567,-0.7444954759909503,0.5045608100240686,0.2559561714902011,0.3269398975880541,0.1922157823989091,-1.0330554549385182,-0.12967062157720624,-0.38282592910325713,-0.8062831116267548,-0.7091418998405326
Ramon Sessions,0.16163308387612454,0.7783188863980784,0.1783270898519631,-0.3014336969335109,-0.5089042200095256,-0.18766137960692308,-0.39736985244803125,0.002433219905920384,-0.06718144119013446,-0.7707910200491095,-0.8368480643778485,-0.09520633792177959,-0.4399084065057738,-0.5198908918520887,0.11369902509566113,-0.6716432675711753,-0.3653822621905366,-0.49848338374949197,1.8293429434282666,0.28439643406872767,-0.8754562470817459,0.7755004891373874,-1.5861046418953464,-0.8685701273366667,-1.0265158561661218,0.6533187878984056,5.302409858040463,1.5185428521095876,-0.18841781489959844,0.8952941723050779
Courtney Sims,1.136496166472393,1.2737530877402115,-0.6049632168185218,-0.17005743453494615,-0.8338740351187839,0.18989544364986266,0.20331202754045336,-0.11801318974655509,-0.013245444779793107,-1.1464290140815272,-1.1717888431310055,-0.6986302946130183,-0.3595379247394303,-0.2613982441750787,-0.17296887467581018,0.3021604535520203,-0.09003030415607341,0.09248123369233577,-1.018433218094981,-1.2139179280421115,1.0889553192801853,-0.03731854820256834,0.44016225282875604,-0.581647721354734,0.15666944294076243,-0.9167537830187305,-0.623496119724267,-1.197698263908762,-0.8062831116267548,-1.2706945250914963
